,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.OE.10.115.1060,"Portería de futbol de 7.32 x 2.44 m, medidas interiores, a base de tubo de acero negro cedula 30 (IMCA OC), ASTM A53, marco de 4"" de diámetro y brazos de red de 2"" de diámetro. Incluye: postes ahogados en muertos de 1.00 m de profundidad, 6 anclas para red de 20 cm de longitud a base de redondo solido de 3/8"", argollas de alambrón de 1/4"" a cada 31 cm sobre larguero principal, brazos y postes, dimensionamiento, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller, dos capas de pintura esmalte color blanco y limpieza.",Pieza,2.00
A0603,MOBILIARIO URBANO,,
UEC.OE.10.115.1010,"Banderola a base de tubo de pvc hidráulico cedula 40, de 25 mm (1"") de diámetro, 1.50 m de altura. Incluye: muelle a base de resorte de compresión de acero al carbón de 0.025 m de diámetro y de 0.08 m de longitud, fijado a tubo de pvc en su parte superior por medio de pijas cabeza fijadoras de 1/4"" de diámetro y 3/8"" de longitud, placa de acero de 3/8""de espesor y 5 cm de tubo de acero negro cedulo 40 de 3/4"" de diámetro, en su parte inferior por medio de placa de acero de 3/8"" de espesor y 35 cm de tubo de acero negro cedula 40 de 1"" de diámetro, uniones del muelle a placa y tubo por medio de soldadura, aleta a base de tela nylon color blanco y dos armellas cerradas de 3/16"" con tuerca y arandela.",Pieza,6.00
UEC.OE.10.115.1120,"Red para portería de futbol a base de polipropileno, en cuadricula de 10 cm de separación, sección de 7.32 x 2.44 m de altura, fondo de 0.90 m en la parte superior y 1.80 m en la parte inferior. Incluye: colocación en marco.",Pieza,2.00
A0604,LIMPIEZAS,,
UEC.ED.100.115.1055,"Limpieza general al termino de la obra, incluye: retiros de materiales sobrantes en lugar especificado por la supervisión, equipo y herramienta.",m2,"6,079.36"
"NOTA: Los códigos identificados de manera diferente a los del Tabulador UEC, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
