,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.IH.22.160.1050,"Tornillo de acero con tuerca hexagonal de 16 mm de diámetro por un largo de 64 mm. Incluye: presentación, colocación y fijación.",Pieza,4.00
UEC.IH.22.160.1055,"Tornillo de acero con tuerca hexagonal de 16 mm de diámetro por un largo de 76 mm. Incluye: presentación, colocación y fijación.",Pieza,32.00
LIDIS.22.UIH.1006,"Fabricación e instalación de codo de acero al carbón de 90° X 100 mm de diámetro. Incluye: cortes, planos de taller y soldadura.",Pieza,1.00
UEC.IH.22.160.1155,"Empaque de plomo para bridas de 76 mm. de diámetro. Incluye: presentación, colocación y limpieza.",Pieza,1.00
UEC.IH.22.160.1160,"Empaque de plomo para bridas de 100 mm de diámetro. Incluye: presentación, colocación y limpieza.",Pieza,4.00
A0303,PINTURA Y SEÑALIZACIÓN,,
UEC.IH.18.180.1050,"Recubrimiento de tubería a base de primario epóxico catalizado, especificación PEMEX RP- 6 a una capa, con un espesor de película seca de 2 milésimas de pulgadas. Incluye: preparación de la superficie y limpieza.",m2,5.39
UEC.IH.18.180.1060,"Recubrimiento de tubería a base de primario epóxico catalizado, especificación PEMEX RA-26 a dos capas, con un espesor de película seca de 5 milésimas de pulgadas cada capa. Incluye: preparación de la superficie y limpieza.",m2,5.39
"NOTA: Los códigos identificados de manera diferente a los del Tabulador UEC, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
,,,
,,,
