,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.18.102.1020,"Cimbra de madera acabado aparente para estructura. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,66.42
A0403,CONCRETOS EN ESTRUCTURA,,
UEC.ED.18.110.1020,"Concreto premezclado f´c = 250 kg/cm2, en estructura, bombeable, Clase 1 estructural, Rev. 14 cm +/- 2.50 cm, tma = 19 mm, pvf > 2.20 t/m3. Incluye: dosificación de agregados, mezclado, transporte, vaciado, vibrado y curado.",m3,4.35
A05,SUPERESTRUCTURA,,
A0501,HABILITADO DE ACERO DE REFUERZO EN SUPERESTRUCTURA,,
UEC.ED.20.100.1015,"Acero de refuerzo del No. 3 (3/8""), en superestructura. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.61
UEC.ED.20.100.1025,"Acero de refuerzo del No. 5 (5/8""), en superestructura. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.13
UEC.ED.20.100.1030,"Acero de refuerzo del No. 6 (3/4""), en superestructura. Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.31
UEC.ED.18.100.1305,"Malla electrosoldada 6 x 6 - 10 / 10 para armado de firmes, pisos o capas de compresión. Incluye: dimensionamiento, cortes, silletas, traslapes y amarre con alambre.",m2,8.36
UEC.ED.18.100.1310,"Malla electrosoldada 6 x 6 - 8 / 8 para armado de firmes, pisos o capas de compresión. Incluye: dimensionamiento, cortes, silletas, traslapes y amarre con alambre.",m2,6.90
A0502,CIMBRA EN SUPERESTRUCTURA,,
UEC.ED.20.102.1020,"Cimbra de madera acabado aparente para superestructura. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,99.19
UEC.ED.20.102.1040,"Casetón de Poliestireno con una densidad de 15 Kg/m3. Incluye: dimensionamiento, cortes, armado, limpieza y acarreos.",m3,0.07
A0503,CONCRETOS EN SUPERESTRUCTURA,,
UEC.ED.20.110.1020,"Concreto premezclado f´c = 250 kg/cm2, en superestructura, bombeable, Clase 1 superestructural, Rev. 14 cm +/- 2.50 cm, tma = 19 mm, pvf > 2.20 t/m3. Incluye: dosificación de agregados, mezclado, transporte, vaciado, vibrado y curado.",m3,7.82
AU2EE.20.UED.1001,"Concreto fabricado en obra f´c = 100 kg/cm2, tma = 13 mm (1/2""), RN. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,0.21
AU2EE.20.UED.1002,"Concreto fabricado en obra f´c = 100 kg/cm2, tma = 19 mm (3/4""), RN. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,0.59
A0504,ELEMENTOS EN SUPERESTRUCTURA ESPECIALES,,
UEC.ED.20.135.1010,"Losa de 19 cm de espesor total, a base de sistema prefabricado de vigueta pretensada y bovedilla de jalcreto, armada con malla electrosoldada 6x6-8/8, con capa de compresión mínima de 6 cm de espesor de concreto premezclado bombeado f'c= 250 kg/cm2, tma 19 mm, terminado para recibir acabados, incluye: cimbra común en fronteras, elevación del material, habilitado, ganchos, dobleces, colado, vibrado, curado, retiro de cimbra y limpieza. NMX-C-406-ONNCCE-2019, NMX-C-155-ONNCCE-2014 Y NMX-C-159-ONNCCE-2016, sobre carga de diseño de 500 kg/m2.",m2,74.52
A06,ALBAÑILERÍA,,
A0601,CADENAS Y CASTILLOS,,
UEC.ED.18.100.1105,"Acero de refuerzo del No. 2 (1/4""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.04
UEC.ED.18.100.1110,"Acero de refuerzo del No. 3 (3/8""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.12
UEC.ED.18.105.1015,"Concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm (3/4""), RN, en castillos, dalas, cerramientos, cadenas y repizones. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,1.23
UEC.ED.18.102.1015,"Cimbra de madera acabado común para castillos, dalas, cadenas y cerramientos. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,14.84
UEC.ED.18.102.1025,"Cimbra de acabado aparente para castillos, dalas, cadenas y cerramientos. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,2.69
A0602,FIRME,,
