,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.22.120.1180,"Largueros a base de perfil comercial polín MonTen, ASTM A500 . Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",kg,2784.00
TECHADO.IE.09,"Tirante a base de  perfil comercial PTR (OR IMCA), ASTM A500. Incluye: conexión soldada a base de placa de acero ASTM A36, planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",kg,302.65
UEC.ED.22.120.1350,"Contraviento a base de perfil comercial redondo solido (OS IMCA), ASTM A36 . Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",kg,278.46
UEC.ED.78.155.1015,"Pintura de esmalte primera calidad en superficies metálicas, a cualquier altura. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie, andamiaje y limpieza.",Kg,9409.85
A0502,CONEXIONES DE ACERO,,
UEC.ED.22.125.1020,"Conexión soldada  entre elementos de acero, a base de ángulo de acero A-36, a cualquier altura. Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, punteo, soldadura, primario de taller y limpieza.",kg,272.39
TECHADO.IE.10,"Conexión para contraviento a base de ángulo de 3/8"" x 4""  y en los laterales placa de 3/8"" ASTM A36 en forma triangular de 8.40 x 8.40cm. Incluye: planos de taller, dimensionamiento, cartabones, cortes, perfilado, erección, presentación, plomeado, punteo, soldadura, primario de taller y limpieza.",Kg,95.92
TECHADO.IE.11,"Tornillo de acero galvanizado con tuerca hexagonal de 13 mm de diámetro por un largo de 25 mm. Incluye: tuerca, arandela, presentación, montaje y fijación",pza,448.00
UEC.ED.78.155.1015,"Pintura de esmalte primera calidad en superficies metálicas, a cualquier altura. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie, andamiaje y limpieza.",Kg,368.31
A0503,CUBIERTAS ,,
UEC.ED.28.130.1020,"Cubierta a base de lámina galvanizada Calibre 24, Pintro marca TERNIUM línea TR-101, P o similar en calidad, costo y garantía. Incluye: dimensionamiento, trazo, elevación, empalme, sello de juntas y limpieza.",m2,800.07
UEC.ED.28.100.1050,"Canalón rolado con un desarrollo transversal de 1.20 m, base 0.30 m, alto 0.30 m., a base de lámina galvanizada calibre 22, anclaje a techumbre 15 cm., hasta 3.00 m de altura, incluye: traslapes, fijaciones, tornillería autoroscante de 3/8"" con empaque integrado, sello de juntas a base de SIKAFLEX- T6 marca SIKA o similar en calidad, costo y garantía.",m,69.84
UEC.ED.28.100.1055,"Caballete en cumbrera con un desarrollo de 60 cm de ancho, elaborado a base de lámina pintro calibre 22, incluye: rolado, dimensionamiento, elevación, traslapes, fijación con tornillería autoroscante de 3/8"" con empaque integrado, sello de juntas a base de SIKAFLEX marca SIKA o similar en calidad, costo y garantía.",m,34.92
UEC.ED.28.100.1060,"Soporte para canalón pluvial con un desarrollo de 0.70 m, a base de ángulo de 3/16""x2"" en forma de ""L"", soldado a cuerda superior de armadura y/o columna CON 70XX, incluye: soldadura, pintura anticorrosiva esmalte alquidálico, pijas para sujetar al ángulo.",Pieza,14.00
A06,ALBAÑILERÍA / CONSTRUCTIVO,,
A0601,FIRMES,,
UEC.ED.30.100.1110,"Firme de 10 cm de espesor de concreto fabricado en obra f´c = 200 kg/cm², tma = 19 mm, armado con malla electrosoldada 6,6 / 10-10,  para recibir acabado. Incluye: compactación de terreno, trazo, habilitados de malla, separadores, cimbra en fronteras, curado y limpieza.",m2,74.06
UEC.UB.10.150.1020,"Corte con disco de 1 a 3 cm de profundidad en pavimento de concreto hidráulico. Incluye: trazo, guía y limpieza.",m,44.43
A07,ACABADOS,,
A0701,LIMPIEZAS,,
UEC.ED.100.115.1050,"Limpieza general durante la obra, incluye: retiros de materiales sobrantes en lugar especificado por la supervisión, equipo y herramienta.",m2,872.16
UEC.ED.100.115.1055,"Limpieza general al termino de la obra, incluye: retiros de materiales sobrantes en lugar especificado por la supervisión, equipo y herramienta.",m2,872.16
A08,INSTALACIÓN ELÉCTRICA,,
A0801,ALUMBRADO EN SISTEMA NORMAL,,
UEC.ED.43.110.1020,"Tubo poliducto liso de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,10.05
UEC.ED.46.285.1020,"Registro eléctrico de 33x33x40 cm con tapa de concreto marca CENTRIFUGADOS MEXICANOS o similar en calidad, costo y garantía. Incluye: excavación, nivelación, filtro de grava triturada de 3/4"" de 40 cm de profundidad.",Pieza,1.00
UEC.ED.46.225.1060,"Centro de carga tipo QO, con zapatas principales, con 2 espacios, 40A, 1F-3H, NEMA-3R, catalogo QO2L40RB, marca SQUARE D  o similar en calidad, costo y garantía. Incluye: Trazo, montaje, ensamblado, etiquetado, peinado de cables, arranque y pruebas.",Pieza,1.00
UEC.ED.43.130.1010,"Tubo conduit de acero galvanizado de pared gruesa de 13 mm diámetro comercial, 16 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,15.75
