,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.12.125.1221,"Relleno semi-mecánico en caja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,1.20
UEC.ED.16.170.1025,"Muro de enrase 14 cm de espesor, con tabique de barro de 7 x 14 x 28 cm, asentado y junteado con mortero cemento-arena proporción 1:4. Incluye: trazo, nivelación, plomeado y limpieza.",m2,1.20
UEC.ED.18.100.1105,"Acero de refuerzo del No. 2 (1/4""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.0032
UEC.ED.18.100.1110,"Acero de refuerzo del No. 3 (3/8""), en albañilería (castillos, dalas, cerramientos, cadenas). Incluye: dimensionamiento, corte, doblado, amarrado con alambre, ganchos y traslapes.",t,0.05
UEC.ED.18.102.1015,"Cimbra de madera acabado común para castillos, dalas, cadenas y cerramientos. Incluye: dimensionamiento, cortes, armado, limpieza, calafateado, lubricado, descimbrado, acarreos a siguiente posición o retiro fuera de la obra.",m2,2.40
UEC.ED.18.105.1015,"Concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm (3/4""), RN, en castillos, dalas, cerramientos, cadenas y repizones. Incluye: dosificación de agregados, mezclado, vaciado y curado.",m3,0.18
UEC.ED.30.105.1050,"Piso de 10 cm de espesor de concreto fabricado en obra f´c = 200 kg/cm2, tma = 19 mm, armado con malla electrosoldada 6,6 / 10-10, terminado escobillado. Incluye: compactación de terreno, trazo, habilitados de malla, separadores, cimbra en fronteras, curado y limpieza.",m2,0.30
A04,ACABADOS,,
A0401,ACABADOS DE PISO,,
CAUMU.10.UOE.1002,"Membrana de refuerzo de poliester tejida sobre superficie de concreto pegada con resina en emulsión estireno-acrílica con viscosidad alta y alto contenido de sólidos, especificación de acuerdo a proyecto. Incluye: preparación de la superficie, traslapes, dimensionamiento y limpieza.",m2,618.24
CAUMU.10.UOE.1003,"Sellado sobre superficie de concreto a base de pasta de emulsión acuosa mezclada con resinas de mediana viscosidad y con un contenido alto de sólidos, especificación de acuerdo a proyecto. Incluye: preparación de la superficie, aplicación a dos capas y limpieza.",m2,618.24
CAUMU.10.UOE.1004,"Recubrimiento acrilico sobre superficie de concreto a base de resinas acrílicas de primera calidad, alto contenido de sólidos, pigmentos de color inorgánicos, agregados de arena sílica y finos, especificación de acuerdo a proyecto. Incluye: preparación de la superficie, aplicación a dos capas y limpieza.",m2,618.24
CAUMU.10.UOE.1005,"Líneas delimitantes de áreas de cancha de 5 cm de ancho a base de acrilico a base de resinas acrílicas de primera calidad, alto contenido de sólidos, pigmentos de color inorgánicos, agregados de arena sílica y finos, especificación de acuerdo a proyecto, sobre firme de concreto. Incluye: trazo, delimitación del ancho de línea con cinta de papel, preparación de la superficie, aplicación a dos manos hasta cubrir perfectamente la superficie y limpieza.",m,554.46
UEC.OE.10.110.1030,"Franja perimetral con un espesor total de 15 cm, elaborada a base de piedra bola de la región asentada y emboquillada con mortero cemento-arena proporción 1:4. Incluye: preparación de la superficie, alineado, cimbra común, curado, retiro de cimbra y limpieza.",m2,85.76
A0402,HERRERÍAS,,
UEC.OE.10.110.1010,"Postes para colocar red de voleibol con un desarrollo para cada poste de 3.25 m, a base de tubo negro cédula 30 de 64 mm (2 1/2""), con 6 ganchos de fierro liso de 1/4"" de diámetro, rondanas, tuercas hexagonales, tapa para el tubo, primer y pintura esmalte primera calidad a dos manos en postes metálicos, incluye: soldadura de la serie 60xx.",juego,1.00
UEC.OE.10.110.1015,"Red para voleibol profesional de 9.50x1.00 m, tejida en hexágonos con cordón de nylon de 5 mm de diámetro y apertura de 10 cm, de alta durabilidad, incluye: elementos para sujeción a postes.",Pieza,1.00
