,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.IH.18.130.1010,"Excavación manual en zanja en material tipo B en seco, de 0.00 a 2.00 m de profundidad, para tuberías. Incluye: delimitación de la zona, afloje y extracción del material, afine de taludes, fondo y conservación de la zanja hasta la instalación de la tubería, carga y acarreo libre a 20 m, de conformidad con las Especificaciones de Construcción.",m3,283.40
UEC.IH.18.135.1010,"Excavación con equipo en zanja en material tipo B en seco, de 0.00 a 2.00 m de profundidad, para tuberías. Incluye: delimitación de la zona, afloje y extracción del material, afine de taludes, fondo y conservación de la zanja hasta la instalación de la tubería, carga y acarreo libre a 20 m, de conformidad con las Especificaciones de Construcción.",m3,5.95
B0202,CARGAS Y ACARREOS,,
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,376.16
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,"1,880.80"
B0203,RELLENOS,,
UEC.IH.18.140.1010,"Plantilla con material inerte de banco  a cualquier profundidad, para obra hidráulica, compactado al 90% de su PVSM en capas de hasta 10 cm.  Incluye: selección del material, carga, acarreo, tiro en zona de relleno, incorporación de agua, compactación y acarreo, de conformidad con las Especificaciones de Construcción.",m3,40.10
UEC.IH.18.145.1050,"Relleno semi-mecánico en zanja, para obra hidráulica, con material suministrado (tepetate) compactado al 90% prueba proctor, en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,240.89
UEC.IH.18.145.1110,"Subrasante con material inerte compactada al 95% de su PVSM por medios semi-mecánicos, en capas de 20 cm con incorporación de agua.( Norma SCT N-CTR-CAR-1-04-003-00)",m3,3.47
B03,INSTALACIÓN HIDRÁULICA,,
B0301,TUBERÍA Y PIEZAS ESPECIALES,,
UEC.IH.20.105.1045,"Suministro de tubería de PVC hidráulico anger, serie inglesa, RD-26, de 76 mm de diámetro nominal, conforme a Norma NMX-E-145/1-SCFI-2002 y NOM-001-CONAGUA-2011. Incluye anillo empaque de material elastomérico en parte proporcional, lubricante para PVC, flete, acarreos y maniobras locales puesto LAB en el almacén de la obra en la localidad.",m,480.61
UEC.IH.20.105.1545,"Instalación de tubería de PVC hidráulico RD-64, RD-41, RD-32.5, RD-26, RD-13.5, A-5, A-7, A-10, A-14, A-20, de 76 mm de diámetro nominal. Incluye: mano de obra, materiales de consumo, equipo y herramienta para instalación, maniobras y acarreos locales, bajada, junteo, acomodo hasta su sitio final, norma NOM-001-CONAGUA-2011.",m,480.61
UEC.IH.22.160.1050,"Tornillo de acero con tuerca hexagonal de 16 mm de diámetro por un largo de 64 mm. Incluye: presentación, colocación y fijación.",Pieza,8.00
UEC.IH.22.100.1250,"Extremidad campana de PVC anger serie inglesa de 75 mm de diámetro, conforme a la norma NMX-E-223. Incluye: presentación, colocación y limpieza.",Pieza,2.00
UEC.IH.22.100.1115,"Codo de PVC anger serie inglesa de 75 mm de diámetro x 90°, conforme a la norma NMX-E-223. Incluye: presentación, colocación y limpieza.",Pieza,5.00
UEC.IH.22.100.1165,"Cople de reparación de PVC anger serie inglesa de 75 mm de diámetro, conforme a la norma NMX-E-223. Incluye: presentación, colocación y limpieza.",Pieza,9.00
UEC.IH.22.100.1465,"TEE de PVC anger serie inglesa de 75 mm x 75 mm de diámetro, conforme a la norma NMX-E-223. Incluye: presentación, colocación y limpieza.",Pieza,7.00
UEC.IH.18.155.1010,"Atraque a base de concreto hecho en obra fc = 150 kg/cm2 para sujetar tuberías. Incluye: trazo, preparación de la superficie, cimbra, vibrado y curado.",m3,0.33
B0302,VÁLVULAS,,
UEC.ED.38.210.1105,"Válvula tipo compuerta con cuerpo de hierro fundido, extremos bridados, vástago fijo, clase 125, Figura W719F, marca WALWORTH o similar en calidad, costo y garantía, para tubo de 75 mm (3"") de diámetro, instalada a cualquier altura. Incluye: presentación, atornillado, sellado con garlok o neopreno y conexión a tubería.",Pieza,1.00
B0303,CAJAS DE VÁLVULAS,,
UEC.IH.18.190.1015,"Caja para operación de válvulas tipo 2, con tapas de acero fundido conforme a las Especificaciones de Construcción. Incluye: trazo, excavaciones y todos los materiales para su correcta ejecución.",Pieza,1.00
B0304,EQUIPOS Y ACCESORIOS,,
UEC.ED.38.215.1050,"Toma domiciliaria en línea de 3"" a base de tubería flexible multicapas PEAD-AL-PEAD de 1/2"" de diámetro, de hasta 2.50 m de longitud. Incluye: abrazadera de PVC 3"" x 1/2"", válvula de inserción de 1/2"", codo bronce combinado de compresión de 90° x 1/2"", niple galvanizado de 1/2"" con forro de polietileno de alta densidad de 50 cm de longitud, válvula restrictora de flujo con dispositivo antifraude de 1/2"", 2 niples galvanizados de 1/2"" de 30 cm de longitud, 2 codos galvanizados de 1/2"" x 90°, 2 niples galvanizados de 1/2"" de 10 cm de longitud y medidor de flujo.",Pieza,43.00
B04,ACABADOS,,
B0401,LIMPIEZAS,,
