,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
ESPUB.10.OEX.1004,"Resbaladilla metálica de 3.40 x 2.15 x 2.00 m, con capacidad de 3 niños, marca JUMBO, modelo RPL-117 o similar en calidad, costo y garantía, recubierto con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,1.00
ESPUB.10.OEX.1005,"Ejercitador twister triple para fortalecimiento cardio pulmonar de 1.58 x 1.40 x 1.26 m, marca PLAY CLUB, modelo E20TWI-TUB o similar en calidad, costo y garantía, recubierto con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,2.00
ESPUB.10.OEX.1006,"Ejercitador tipo caballo para desarrollo muscular de pierna, abdomen y hombro de 1.01 x 0.68 x 1.20 m, marca PLAY CLUB, modelo E26CAB-TUB o similar en calidad, costo y garantía, recubierto con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,1.00
ESPUB.10.OEX.1007,"Ejercitador prensa doble para entrenamiento de músculos superiores de 2.15 x 0.69 x 2.26 m, marca PLAY CLUB, modelo E7PPE-TUB o similar en calidad, costo y garantía, recubierto con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,1.00
ESPUB.10.OEX.1008,"Ejercitador tonificador doble de pierna de 1.78 x 0.51 x 2.00 m, marca PLAY CLUB, modelo E13TON-BAR o similar en calidad, costo y garantía, recubierto con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,1.00
ESPUB.10.OEX.1009,"Ejercitador tipo remo para desarrollo de musculatura de espalda y hombro de 1.18 x 0.75 x 0.79 m, marca PLAY CLUB, modelo E23REMO o similar en calidad, costo y garantía, acabado con pintura electrostática. Incluye: trazo, presentación, fijación y limpieza.",Pieza,1.00
A0304,JARDINERIA Y VEGETACIÓN,,
ESPUB.30.OEX.1001,"Árbol de la especie Fresno blanco, de 0.05 m de diámetro de tronco y 3.00 m de alto. Incluye: excavación, plantación, relleno, tratamiento de las raíces con fungicidas, enraizadores, riego y limpieza.",Pieza,3.00
ESPUB.30.OEX.1002,"Planta de ornato tipo Peonia. Incluye: excavación, plantación, relleno, riego y limpieza.",Pieza,122.00
ESPUB.30.OEX.1003,"Planta cubresuelo tipo dedo moro. Incluye: excavación, plantación, relleno, riego y limpieza.",Pieza,122.00
ESPUB.30.OEX.1004,"Cubresuelo tipo corteza procesada. Incluye: excavación, plantación, relleno, riego y limpieza.",m2,447.00
ESPUB.30.OEX.1005,"Planta de ornato tipo Lavanda. Incluye: excavación, plantación, relleno, riego y limpieza.",Pieza,18.00
ESPUB.30.OEX.1006,"Planta de ornato tipo Cola de Zorro. Incluye: excavación, plantación, relleno, riego y limpieza.",Pieza,18.00
UEC.OE.30.110.1010,"Pasto en rollo tipo San Agustín. Incluye: carga, acarreo, capa de tierra de 10 cm, nivelación, riego y limpieza.",m2,50.00
A0305,LIMPIEZAS,,
UEC.ED.100.115.1055,"Limpieza general al termino de la obra, incluye: retiros de materiales sobrantes en lugar especificado por la supervisión, equipo y herramienta.",m2,"1,839.10"
A04,INSTALACIÓN HIDRÁULICA,,
A0401,OBRA CIVIL,,
UEC.IH.18.110.1010,"Trazo y nivelación con equipo topográfico para el desplante de estructuras para redes de agua. Incluye: ubicación de bancos, niveles, trazo, marcas y señales, de conformidad con las Especificaciones de Construcción.",m2,8.00
UEC.ED.12.110.1015,"Excavación con equipo en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,3.36
UEC.IH.18.140.1010,"Plantilla con material inerte de banco  a cualquier profundidad, para obra hidráulica, compactado al 90% de su PVSM en capas de hasta 10 cm.  Incluye: selección del material, carga, acarreo, tiro en zona de relleno, incorporación de agua, compactación y acarreo, de conformidad con las Especificaciones de Construcción.",m3,4.80
UEC.ED.12.125.1115,"Relleno semi-mecánico en zanja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,4.80
UEC.IH.18.155.1010,"Atraque a base de concreto hecho en obra fc = 150 kg/cm2 para sujetar tuberías. Incluye: trazo, preparación de la superficie, cimbra, vibrado y curado.",m3,0.03
A0402,TUBERÍA Y PIEZAS ESPECIALES,,
ESPUB.18.URB.1001,"Toma para bebedero en línea de 3"" a base de tubería flexible multicapas PEAD-AL-PEAD de 1/2"" de diámetro, de hasta 8.00 m de longitud. Incluye: abrazadera de PVC 3"" x 1/2"", válvula de inserción de 1/2"", codo bronce combinado de compresión de 90° x 1/2"", niple galvanizado de 1/2"" con forro de polietileno de alta densidad de 50 cm de longitud, llave de candado de 1/2"", niple galvanizado de 1/2"" de 30 cm de longitud, codo galvanizado de 1/2"" x 90°, niple galvanizado de 1/2"" de cuerda corrida.",Pieza,1.00
A0403,EQUIPOS Y ACCESORIOS,,
ESPUB.10.OEX.1010,"Bebedero de pedestal de 1.85 x 1.20 m, con dos brazos laterales en forma de cruz, especificaciones de acuerdo a proyecto. Incluye: trazo, traslado, montaje, maniobras, fijación y limpieza.",Pieza,1.00
A05,INSTALACIÓN ELÉCTRICA,,
A0501,ALUMBRADO EXTERIOR,,
UEC.ED.43.130.1010,"Tubo conduit de acero galvanizado de pared gruesa de 13 mm diámetro comercial, 16 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,8.00
UEC.ED.43.130.1105,"Codo de acero galvanizado de pared gruesa de 13 mm diámetro comercial, 16 mm SEDE, a cualquier altura. Incluye: presentación y fijación a tubería u otras conexiones.",Pieza,2.00
UEC.ED.43.175.1015,"Caja de conexiones eléctricas, de lamina galvanizada troquelada de 12 x 12 x 5 cm, para tubería de 25 mm, a cualquier altura. Incluye: presentación, colocación, fijación y conexión a tubería.",Pieza,2.00
UEC.ED.43.220.1030,"Condulet de aluminio serie ovalada, serie 7, T, para tubo de 41 mm, marca CROUSE-HINDS EATON, Catalogo T57, o similar en calidad, costo y garantía, a cualquier altura. Incluye: fijación y conexión a tubos.",Pieza,2.00
